q,h,u,conc,q_b,u_b,E,D,R_n,Co,Hyp,coeff_3,t_cpu,case,d_median_input,
30.00165998,7.735893342,3.878241148,0.025121255,0.041768418,0.324291665,0.003882237,0.003882306,1.395586756,0.038782412,40,2,38.609375,2f,0.045,
40.00340322,9.184315749,4.355621504,0.029986403,0.057384665,0.374006715,0.004538714,0.00453873,1.25412671,0.043556215,40,2,50.140625,2f,0.045,
50.00519055,10.49531466,4.764525146,0.034334859,0.072989463,0.414988629,0.00510038,0.005100364,1.151066658,0.047645252,40,2,34.03125,2f,0.045,
60.00680433,11.70617887,5.12607957,0.038346834,0.088586599,0.450212549,0.005597912,0.005597909,1.070729756,0.051260796,40,2,31.0625,2f,0.045,
70.0086016,12.83951439,5.452589518,0.042128147,0.104188642,0.481334385,0.006049001,0.00604901,1.005230599,0.054525895,40,2,35.46875,2f,0.045,
80.01068587,13.91020495,5.751941553,0.045748988,0.119811306,0.509378112,0.006464981,0.006464991,0.950076248,0.057519416,40,2,38.78125,2f,0.045,
0.499999999,0.725962938,0.688740393,0,0,0,0,0,29.24378165,0.006887404,0,4,41.390625,3a   ,0.045,
1,1.06940456,0.935099809,0,0,0,0,0,24.09460116,0.009350998,0,4,30.1875,3a   ,0.045,
2,1.585553708,1.261388996,0,0,0,0,0,19.78792606,0.01261389,0,4,29.90625,3a   ,0.045,
5,2.690932914,1.858091658,0,0,0,0,0,15.18935464,0.018580917,0,4,25.03125,3a   ,0.045,
10,4.036488326,2.477400947,0,0,0,0,0,12.40191948,0.02477401,0,4,46.5,3a   ,0.045,
12.50000876,4.603321637,2.715432409,8.58E-05,0.000650063,0.023867162,8.51E-05,8.51E-05,11.61085143,0.027154324,0,4,55.453125,3a   ,0.045,
